ID;SAFRA;CEP;IDADE;GENERO;RENDA;SCORE_F1;SCORE_F2;IND_BOM
43;201906;76890000;27;M;3633.33;590.0;679.0;1
44;201909;94080500;37;M;2500.0;330.0;655.0;1
45;201907;62420000;38;M;15000.0;696.0;719.0;0
46;201905;75095140;29;M;2300.0;781.0;635.0;1
47;201908;29190415;46;M;3309.0;714.0;628.0;1
48;201908;80320200;43;M;8000.0;862.0;720.0;0
49;201909;38045400;53;F;1578.0;767.0;659.0;0
50;201909;38045400;53;F;3500.0;769.0;659.0;0
51;201905;22250040;33;F;11200.0;784.0;685.0;0
52;201905;37903002;43;F;1200.0;341.0;624.0;0
53;201907;48110000;37;M;3500.0;528.0;559.0;0
54;201906;69015473;26;F;2650.0;677.0;800.0;1
55;201907;95095550;39;F;1800.0;503.0;652.0;1
56;201905;5012010;63;M;8500.0;882.0;651.0;0
57;201905;60332790;33;M;4937.0;719.0;551.0;1
58;201908;9271490;61;M;5005.0;893.0;788.0;0
59;201906;69800000;27;M;1500.0;487.0;672.0;0
60;201905;94430270;35;M;3500.0;338.0;699.0;0
61;201908;21021370;34;M;4700.0;654.0;808.0;1
62;201907;68745570;29;F;6612.16;484.0;774.0;1
63;201908;28980000;54;F;1602.5;380.0;546.0;0
64;201906;66023730;27;M;4000.0;612.0;619.0;0
65;201905;29395000;52;F;2500.0;549.0;653.0;1
66;201907;5843220;54;F;3500.0;590.0;820.0;1
67;201909;1322000;35;F;18000.0;500.0;738.0;1
68;201909;88058825;41;M;7000.0;495.0;703.0;1
69;201907;83020150;36;M;3905.83;828.0;715.0;1
70;201909;89120000;39;M;2700.0;629.0;683.0;0
71;201906;23575000;50;M;6200.0;428.0;686.0;1
72;201908;94852080;39;F;1580.0;693.0;619.0;1
73;201907;74063450;40;F;2000.0;677.0;657.0;1
74;201909;95084010;37;M;6060.0;317.0;659.0;1
75;201908;45570000;40;M;2500.0;443.0;733.0;0
76;201907;96425490;37;M;2000.0;414.0;688.0;1
77;201908;96505730;37;F;3750.0;895.0;794.0;1
78;201907;76890000;26;F;5000.0;484.0;515.0;1
79;201907;78135622;48;M;3500.0;643.0;734.0;1
80;201909;21311270;52;M;18000.0;783.0;657.0;1
81;201909;93224473;33;F;3033.61;920.0;615.0;1
82;201905;21370230;50;M;1400.0;288.0;600.0;0
83;201907;68660000;33;M;1917.53;436.0;653.0;1
84;201909;72925257;35;M;8000.0;806.0;692.0;1
85;201905;70741670;32;F;3400.0;787.0;573.0;1
86;201905;70741670;32;F;3400.0;787.0;573.0;1
87;201907;89221596;41;M;3000.0;521.0;644.0;0
88;201905;78135622;35;F;5000.0;872.0;606.0;1
89;201905;95890000;36;F;4200.0;854.0;855.0;1
90;201906;20770000;50;F;8070.18;831.0;734.0;1
91;201906;98300000;34;M;1400.0;644.0;730.0;1
92;201906;88101310;37;F;3000.0;526.0;616.0;1
93;201907;41611205;36;M;1500.0;524.0;635.0;0
94;201909;70658700;32;F;5000.0;654.0;816.0;1
95;201909;88310693;41;M;5369.09;680.0;678.0;1
96;201905;95520000;39;F;9000.0;657.0;525.0;1
97;201907;95080520;35;F;1600.0;649.0;633.0;1
98;201908;7064170;59;M;6000.0;801.0;650.0;1
99;201909;69917754;25;F;3000.0;576.0;668.0;0
100;201907;96740000;35;F;9275.0;803.0;713.0;0
101;201908;81810300;41;M;2650.0;632.0;777.0;1
102;201907;62370000;37;M;3000.0;722.0;775.0;1
103;201909;75110750;33;M;10496.12;507.0;603.0;1
104;201907;88130500;30;M;2000.0;781.0;741.0;1
105;201909;96195000;37;M;2500.0;725.0;671.0;0
106;201908;31260050;41;M;2680.0;241.0;580.0;0
107;201907;89224480;37;M;3500.0;532.0;736.0;1
108;201905;95609132;33;M;3500.0;412.0;631.0;1
109;201908;33930600;46;M;3300.0;436.0;813.0;1
110;201906;79117280;35;F;1600.0;512.0;668.0;1
111;201907;14115000;48;M;4600.0;532.0;690.0;0
112;201907;88375000;41;M;2300.0;476.0;571.0;1
113;201905;68925225;29;F;3000.0;733.0;634.0;1
114;201905;66095531;27;M;10000.0;345.0;666.0;0
115;201908;91225001;34;M;9000.0;445.0;748.0;0
116;201905;64208500;28;M;1600.0;733.0;677.0;1
117;201906;60355642;34;F;2600.0;683.0;624.0;1
118;201909;85660000;37;F;1800.0;345.0;658.0;0
119;201906;88107318;36;F;2600.0;694.0;566.0;0
120;201907;29142037;45;M;5000.0;691.0;619.0;0
121;201905;86360000;30;F;2500.0;2.0;791.0;0
122;201906;86360000;30;F;2500.0;747.0;808.0;1
123;201908;68365000;31;M;2507.0;640.0;582.0;1
124;201908;97050550;31;F;2400.0;640.0;633.0;1
125;201906;87050100;42;M;8000.0;300.0;546.0;0
126;201907;66035060;30;M;9000.0;719.0;796.0;1
127;201906;95059365;31;F;4000.0;797.0;697.0;1
128;201907;95059365;12;F;3500.0;844.0;612.0;1
129;201908;96212760;35;M;5500.0;736.0;728.0;1
130;201909;88131300;38;M;2000.0;904.0;604.0;0
131;201908;74255240;29;M;2450.0;624.0;703.0;1
132;201908;95600001;33;M;10000.0;252.0;661.0;0
133;201906;65054420;35;F;2923.0;599.0;676.0;1
134;201907;77777000;35;F;1250.0;408.0;739.0;1
135;201909;89228141;39;M;4000.0;387.0;604.0;0
136;201907;31170520;42;M;2700.0;669.0;793.0;1
137;201908;9120330;63;M;3000.0;526.0;662.0;1
138;201909;28380000;50;F;7500.0;587.0;628.0;1
139;201907;88330000;12;F;4000.0;806.0;845.0;1
140;201909;39480000;46;F;1900.0;839.0;754.0;1
141;201908;90619090;36;M;3030.57;495.0;813.0;1
142;201907;1549010;34;F;2700.0;722.0;551.0;1
143;201909;40717633;35;F;1200.0;222.0;560.0;0
144;201908;96824130;31;M;4200.0;532.0;688.0;0
145;201908;80250160;37;M;8000.0;890.0;764.0;1
146;201907;73092910;28;M;5412.0;529.0;695.0;0
147;201907;45000000;39;F;1300.0;585.0;517.0;1
148;201908;91540640;34;M;9100.0;612.0;751.0;0
149;201908;86601176;40;F;3400.0;805.0;729.0;1
150;201909;43810271;36;M;4000.0;658.0;675.0;0
151;201909;95795000;34;F;3100.0;596.0;631.0;1
152;201905;48700000;34;F;4400.0;867.0;651.0;1
153;201907;64004250;25;F;4000.0;433.0;645.0;1
154;201905;76801123;28;F;9130.0;887.0;817.0;1
155;201909;72251602;33;F;1789.12;607.0;628.0;1
156;201905;22783140;48;F;1500.0;566.0;637.0;0
157;201906;95098420;37;M;2000.0;875.0;674.0;1
158;201907;95903056;33;F;2350.0;713.0;828.0;1
159;201906;89620000;30;M;6150.0;523.0;771.0;1
160;201908;4416280;60;M;6800.0;644.0;580.0;0
161;201905;71919180;33;F;3980.0;791.0;724.0;1
162;201909;76824052;38;M;12000.0;573.0;734.0;1
163;201907;46960000;38;M;2000.0;433.0;760.0;1
164;201908;47200000;36;M;1657.0;526.0;688.0;1
165;201905;37484000;43;M;18000.0;529.0;671.0;1
166;201909;15807283;60;M;2018.42;506.0;785.0;1
167;201908;88230000;35;F;5000.0;808.0;657.0;1
168;201908;98700000;35;M;1800.0;377.0;815.0;1
169;201905;58045040;38;F;8000.0;493.0;543.0;0
170;201907;83040060;35;F;4562.0;772.0;736.0;1
171;201905;4184000;58;M;5000.0;895.0;638.0;1
172;201908;89010506;36;M;2000.0;739.0;599.0;0
173;201906;2871080;39;F;1880.0;560.0;696.0;1
174;201906;92440158;34;M;2560.0;378.0;529.0;0
175;201906;13561382;39;M;10000.0;691.0;743.0;1
176;201906;68537000;28;M;7132.0;767.0;598.0;1
177;201908;79950000;37;M;4990.0;750.0;768.0;1
178;201908;69025050;29;M;13000.0;668.0;755.0;1
179;201908;72310406;35;F;3000.0;411.0;698.0;1
180;201908;93260150;26;M;4000.0;325.0;591.0;1
181;201909;87200099;32;M;20000.0;851.0;724.0;1
182;201909;71020053;34;F;15000.0;2.0;617.0;0
183;201905;43900000;36;M;2800.0;328.0;641.0;1
184;201907;89230705;38;F;4000.0;563.0;719.0;1
185;201909;83280000;38;M;5000.0;708.0;744.0;1
186;201909;60120140;33;F;3200.0;394.0;690.0;1
187;201909;97015000;33;M;2700.0;794.0;848.0;1
188;201908;76821510;37;F;5000.0;532.0;793.0;1
189;201907;88780000;30;M;1200.0;540.0;793.0;0
190;201907;88780000;30;M;1200.0;528.0;793.0;0
191;201909;88061355;33;M;2000.0;106.0;777.0;0
192;201907;89230743;37;F;4211.0;848.0;807.0;1
193;201908;91550280;35;F;2860.09;221.0;659.0;1
194;201907;29192018;50;F;2300.0;554.0;521.0;0
195;201906;58431070;39;M;17000.0;420.0;714.0;1
196;201908;96880000;35;M;1500.0;473.0;676.0;0
197;201908;73752023;34;F;4000.0;254.0;590.0;1
198;201907;90870180;34;M;6881.0;372.0;505.0;0
199;201906;23916080;52;F;1841.67;560.0;652.0;1
200;201905;59157385;49;F;2390.0;892.0;867.0;1
201;201905;49514000;38;M;1500.0;401.0;551.0;1
202;201906;87155000;51;F;4680.0;812.0;610.0;1
203;201908;95780000;33;M;2600.0;826.0;714.0;0
204;201905;8382560;27;F;2800.0;756.0;622.0;1
205;201906;9121560;60;M;2700.0;646.0;680.0;1
206;201909;49087560;35;M;7500.0;784.0;680.0;1
207;201907;89221660;29;M;3500.0;398.0;779.0;1
208;201908;75903010;35;F;4500.0;582.0;657.0;0
209;201909;92440490;33;M;3000.0;476.0;632.0;1
210;201905;70670407;33;F;4000.0;501.0;783.0;1
211;201907;86055645;35;M;2200.0;702.0;845.0;0
212;201905;88025095;36;M;3500.0;750.0;714.0;1
213;201905;88034050;36;F;10000.0;761.0;806.0;1
214;201909;69058835;26;M;3580.0;738.0;724.0;1
215;201906;90420140;35;M;15000.0;867.0;669.0;0
216;201906;42717095;36;M;5000.0;650.0;622.0;1
217;201906;94500210;32;M;3692.54;619.0;536.0;0
218;201909;95500000;33;M;3480.0;495.0;749.0;1
219;201907;98760000;33;F;4500.0;584.0;616.0;1
220;201906;66123030;27;M;5000.0;590.0;688.0;1
221;201908;76850000;27;M;1500.0;496.0;632.0;1
222;201906;21361310;54;F;5500.0;202.0;656.0;0
223;201906;88798000;36;F;2200.0;731.0;825.0;1
224;201908;88790000;36;F;2200.0;498.0;889.0;1
225;201908;74575290;33;M;6000.0;610.0;630.0;1
226;201909;68501160;37;M;2300.0;590.0;649.0;0
227;201905;6065310;58;M;2500.0;451.0;857.0;1
228;201906;5372050;58;M;13000.0;669.0;763.0;0
229;201906;13152174;59;M;5200.0;819.0;755.0;1
230;201907;87115121;27;M;3000.0;560.0;663.0;0
231;201908;48903455;35;F;6000.0;828.0;706.0;1
232;201905;89050300;26;M;4200.0;710.0;756.0;1
233;201907;95625000;34;M;3000.0;104.0;603.0;0
234;201905;79640280;33;F;5800.0;596.0;650.0;0
235;201908;95778000;34;M;6000.0;707.0;753.0;1
236;201905;42850000;48;M;20000.0;2.0;759.0;1
237;201909;22220020;60;F;11500.0;104.0;716.0;1
238;201907;79004600;29;M;3000.0;845.0;571.0;1
239;201906;18590000;58;M;14500.0;605.0;844.0;1
240;201905;76510000;35;M;3000.0;644.0;713.0;1
241;201906;58038461;41;F;2800.0;856.0;591.0;0
242;201906;98590000;27;M;2500.0;140.0;620.0;1
243;201907;99051310;34;M;2500.0;650.0;649.0;0
244;201905;95076740;33;M;2000.0;717.0;723.0;1
245;201909;67146204;27;F;3000.0;772.0;670.0;0
246;201907;3132090;26;F;9098.38;889.0;735.0;1
247;201907;85909090;32;F;6000.0;647.0;776.0;0
248;201907;95970000;32;F;1800.0;582.0;704.0;1
249;201906;74843170;33;F;6000.0;820.0;752.0;1
250;201907;11040020;60;F;1300.0;431.0;686.0;1
251;201909;91260000;34;F;4400.0;426.0;711.0;1
252;201908;60170001;34;M;3700.0;594.0;805.0;1
253;201908;95088640;31;M;4500.0;274.0;771.0;1
254;201909;93052500;34;M;7500.0;661.0;617.0;0
255;201908;89030300;31;M;3000.0;526.0;707.0;0
256;201905;99010090;33;M;6400.0;806.0;797.0;0
257;201908;46820000;36;M;3200.0;759.0;744.0;1
258;201909;21625360;48;F;4800.0;81.0;673.0;1
259;201909;81130200;31;M;6000.0;820.0;635.0;0
260;201907;5868070;64;F;1700.0;738.0;843.0;1
261;201909;69049220;27;F;2200.0;674.0;754.0;1
262;201907;21340030;47;F;1260.0;560.0;627.0;0
263;201906;91771024;33;F;2500.0;492.0;650.0;0
264;201908;80220081;31;M;2465.76;263.0;817.0;1
265;201907;55299776;36;F;3000.0;811.0;778.0;1
266;201905;69087668;29;F;1800.0;405.0;722.0;1
267;201906;74280260;32;F;4000.0;750.0;828.0;1
268;201908;99700226;25;M;1360.0;602.0;677.0;0
269;201906;21825060;46;M;8000.0;481.0;738.0;1
270;201906;40015300;34;F;3000.0;576.0;631.0;1
271;201907;72669357;39;M;2600.0;454.0;639.0;0
272;201907;3443040;60;;15000.0;501.0;673.0;1
273;201906;59633720;36;F;4836.29;478.0;546.0;0
274;201906;3312052;58;F;6500.0;761.0;819.0;1
275;201906;95745000;34;M;1509.9;433.0;666.0;0
276;201907;96010054;36;F;3071.0;345.0;714.0;0
277;201909;78115000;37;M;2000.0;545.0;709.0;1
278;201909;49680000;43;;1890.0;616.0;776.0;1
279;201905;88345590;30;F;6200.0;655.0;576.0;0
280;201908;95097450;34;F;2121.0;510.0;760.0;1
281;201907;93800662;24;M;2500.0;601.0;719.0;1
282;201906;48850000;62;M;2881.0;608.0;636.0;1
283;201907;45051240;32;M;5622.15;786.0;747.0;1
284;201908;75385194;33;F;1500.0;535.0;515.0;0
285;201907;2141000;58;F;8000.0;858.0;675.0;1
286;201908;75105100;32;M;7500.0;689.0;662.0;1
287;201908;74948450;32;M;3280.0;551.0;638.0;1
288;201907;75071835;33;F;7990.0;350.0;507.0;0
289;201907;26130010;48;M;8000.0;773.0;685.0;0
290;201905;84920000;26;M;2300.0;496.0;686.0;1
291;201908;6462050;58;M;3100.0;551.0;667.0;0
292;201907;54777460;40;M;4000.0;868.0;649.0;1
293;201908;86060080;58;M;18000.0;906.0;843.0;1
294;201908;79042560;29;F;3500.0;492.0;784.0;1
295;201907;23060260;47;M;3553.0;540.0;662.0;1
296;201907;75513612;34;M;3992.0;820.0;594.0;0
297;201909;73330061;34;M;3200.0;300.0;661.0;0
298;201907;58090260;38;M;1500.0;394.0;730.0;0
299;201905;31570160;43;M;2437.93;517.0;741.0;1
300;201906;93950000;32;F;3002.0;792.0;729.0;1
301;201907;93950000;32;F;3000.0;868.0;746.0;1
302;201908;30882640;40;M;3500.0;471.0;601.0;1
303;201907;20771445;47;F;3000.0;643.0;698.0;1
304;201905;97880000;34;M;4000.0;523.0;540.0;1
305;201907;38406109;42;M;9000.0;903.0;579.0;0
306;201906;76913279;26;M;1800.0;727.0;695.0;1
307;201909;73401303;34;M;1360.0;391.0;447.0;0
308;201905;31744170;38;M;2759.0;733.0;530.0;1
309;201908;66615630;26;F;3000.0;546.0;640.0;0
310;201908;70675812;33;M;8000.0;487.0;797.0;1
311;201905;79106501;33;M;3500.0;800.0;644.0;0
312;201909;60510107;34;M;9300.0;750.0;736.0;0
313;201908;97030660;34;M;8000.0;833.0;670.0;1
314;201909;97185000;33;F;2500.0;833.0;817.0;1
315;201909;11703230;61;M;1800.0;711.0;702.0;1
316;201907;95096761;33;M;2703.0;517.0;615.0;1
317;201909;72871563;32;F;3000.0;837.0;562.0;0
318;201908;95670000;32;M;5750.0;560.0;632.0;0
319;201905;69054700;28;M;4767.88;537.0;723.0;1
320;201907;31545330;40;M;2681.69;735.0;709.0;1
321;201909;31812115;38;F;3980.0;660.0;667.0;1
322;201909;12086000;49;M;7500.0;791.0;658.0;0
323;201907;35460000;47;F;3500.0;901.0;769.0;1
324;201909;35460000;47;F;4000.0;890.0;759.0;1
325;201908;89218230;38;M;14000.0;868.0;729.0;1
326;201906;91910460;32;F;3280.0;504.0;639.0;1
327;201909;85960000;22;F;4000.0;814.0;711.0;1
328;201906;73808775;27;M;3000.0;375.0;566.0;0
329;201908;5563070;58;M;4100.0;836.0;720.0;1
330;201907;95630000;31;M;2383.0;688.0;664.0;1
331;201907;4140060;60;F;7000.0;800.0;669.0;1
332;201907;78058438;32;F;8189.09;781.0;487.0;0
333;201907;79560000;34;M;5000.0;805.0;702.0;0
334;201909;44056700;37;F;3000.0;184.0;623.0;0
335;201907;29101502;46;M;8000.0;865.0;922.0;1
336;201908;88106000;25;M;3000.0;660.0;660.0;0
337;201907;14090425;58;F;1495.0;510.0;674.0;0
338;201908;95560000;34;F;2000.0;594.0;694.0;1
339;201909;28960000;48;M;2100.0;562.0;744.0;1
340;201906;77015591;32;M;4000.0;431.0;586.0;1
341;201908;93900000;33;F;1800.0;624.0;770.0;1
342;201909;32315340;36;F;5000.0;576.0;689.0;1
343;201905;88715000;30;M;2170.0;521.0;624.0;1
344;201908;1307001;58;F;11746.87;803.0;817.0;1
345;201905;44071530;36;M;5200.0;668.0;684.0;0
346;201905;44071530;36;M;5200.0;668.0;684.0;0
347;201908;31555390;38;M;6000.0;347.0;609.0;1
348;201908;76807184;27;M;2600.0;543.0;693.0;1
349;201907;94495300;31;F;8000.0;369.0;608.0;0
350;201908;13087500;24;M;7750.0;650.0;838.0;1
351;201908;40301130;27;M;6000.0;702.0;645.0;0
352;201905;8120300;63;F;2000.0;761.0;566.0;1
353;201908;5061100;30;M;1800.0;582.0;702.0;1
354;201908;30881560;37;F;1800.0;808.0;802.0;1
355;201906;22220040;45;M;17513.74;736.0;797.0;1
356;201906;31535710;39;M;3500.0;526.0;705.0;1
357;201906;95680000;31;M;5000.0;867.0;805.0;1
358;201909;37200000;36;F;10000.0;476.0;738.0;1
359;201909;68511200;25;M;3503.64;654.0;592.0;1
360;201908;93700000;31;F;3000.0;633.0;685.0;1
361;201905;85855520;28;M;2400.0;713.0;472.0;1
362;201907;36047050;36;M;1300.0;447.0;624.0;1
363;201909;49200000;34;M;2000.0;750.0;624.0;1
364;201907;72322201;33;M;1400.0;618.0;658.0;1
365;201906;54700000;32;M;1500.0;847.0;690.0;1
366;201906;43850000;25;M;4850.0;546.0;606.0;1
367;201908;22750009;48;M;3000.0;571.0;829.0;1
368;201908;98005262;30;;2600.0;699.0;566.0;1
369;201908;93900000;32;F;2500.0;661.0;667.0;1
370;201908;93900000;32;F;2800.0;619.0;667.0;1
371;201906;5085000;58;F;6500.0;594.0;817.0;1
372;201906;50680180;30;F;3980.0;644.0;699.0;1
373;201906;38081105;31;M;6000.0;417.0;667.0;1
374;201908;23087285;46;M;7653.0;462.0;716.0;1
375;201905;20540060;48;F;4600.0;693.0;660.0;0
376;201908;30190110;34;M;5692.0;299.0;653.0;0
377;201907;9401000;59;M;8000.0;470.0;644.0;1
378;201909;89620000;42;M;6000.0;507.0;666.0;1
379;201905;95765000;31;M;3490.0;682.0;804.0;1
380;201908;31578520;34;M;3400.0;408.0;751.0;1
381;201908;88132599;32;F;2900.0;805.0;692.0;1
382;201908;5766360;53;M;1800.0;523.0;806.0;1
383;201908;91140340;31;F;2000.0;896.0;707.0;1
384;201908;31580030;36;F;2002.0;566.0;714.0;1
385;201909;8253001;61;F;10000.0;822.0;810.0;1
386;201907;65010000;32;M;4666.9;598.0;663.0;0
387;201908;78200000;32;M;1400.0;610.0;845.0;1
388;201907;23013070;47;F;2500.0;462.0;532.0;1
389;201907;95590000;24;F;5000.0;830.0;723.0;1
390;201908;68523000;28;M;2900.0;780.0;806.0;1
391;201905;49035170;35;M;5000.0;274.0;581.0;0
392;201907;77660000;33;F;3800.0;549.0;708.0;1
393;201907;17505500;59;M;4000.0;551.0;613.0;0
394;201909;28911270;50;M;6000.0;719.0;762.0;1
395;201907;21331670;36;M;2500.0;822.0;712.0;1
396;201909;63046140;27;F;1200.0;482.0;663.0;1
397;201907;60183718;32;F;2500.0;747.0;653.0;1
398;201907;31810540;31;F;1500.0;629.0;584.0;0
399;201909;31540730;33;F;3900.0;2.0;686.0;1
400;201909;38414530;34;F;2800.0;464.0;677.0;1
401;201907;44570535;30;M;4500.0;622.0;675.0;0
402;201907;74853200;32;M;4000.0;523.0;804.0;1
403;201908;97010041;32;M;6500.0;619.0;747.0;1
404;201908;97105490;36;F;1500.0;398.0;579.0;0
405;201905;99040665;31;F;2500.0;672.0;725.0;1
406;201906;37903218;31;M;3328.0;594.0;631.0;1
407;201907;89201266;42;M;2000.0;563.0;643.0;0
408;201907;79840030;33;M;2000.0;721.0;708.0;1
409;201908;69037000;26;M;9400.0;375.0;638.0;1
410;201908;96450000;33;F;1400.0;409.0;664.0;0
411;201907;36033330;32;F;3000.0;434.0;552.0;0
412;201907;69932000;27;M;1500.0;571.0;692.0;1
413;201907;72145406;33;M;5500.0;613.0;705.0;1
414;201906;99200000;30;M;4500.0;688.0;652.0;1
415;201908;73350105;31;F;4137.0;443.0;582.0;1
416;201908;58433130;28;M;1500.0;610.0;598.0;1
417;201907;28899328;45;M;3500.0;707.0;704.0;1
418;201905;40375450;32;F;1200.0;654.0;566.0;1
419;201908;68820000;27;M;1500.0;507.0;594.0;1
420;201906;71060279;33;M;9000.0;778.0;781.0;1
421;201905;74915235;33;M;6000.0;510.0;815.0;1
422;201908;25650230;49;F;1900.0;588.0;552.0;0
423;201909;26123120;49;F;3000.0;697.0;768.0;1
424;201909;71680364;29;M;2000.0;506.0;692.0;1
425;201908;72225046;31;M;2000.0;624.0;516.0;1
426;201905;98050060;32;F;1800.0;772.0;734.0;1
427;201908;38405352;31;M;4300.0;585.0;710.0;1
428;201909;69010120;22;M;1700.0;479.0;653.0;1
429;201908;93052040;33;M;1200.0;201.0;801.0;1
430;201907;13026180;58;M;7500.0;468.0;662.0;1
431;201908;13560160;22;M;2000.0;241.0;550.0;1
432;201909;15360000;43;M;1870.0;240.0;721.0;1
433;201908;75385173;32;M;2200.0;222.0;742.0;1
434;201905;99200000;27;F;1800.0;711.0;746.0;1
435;201907;99200000;27;F;1800.0;777.0;746.0;1
436;201909;59607330;28;F;5000.0;412.0;510.0;0
437;201909;85980000;44;F;4800.0;889.0;784.0;1
438;201907;96020480;30;F;2200.0;815.0;671.0;1
439;201908;60410642;32;M;2100.0;801.0;657.0;1
440;201907;5805000;31;M;3400.0;784.0;680.0;0
441;201908;87025140;45;F;4250.0;638.0;685.0;1
442;201907;72610307;29;M;5000.0;616.0;699.0;1
443;201908;88330390;24;M;2300.0;722.0;745.0;0
444;201907;89900000;28;M;4000.0;842.0;830.0;1
445;201907;91120020;32;M;3000.0;672.0;675.0;1
446;201907;59300000;24;M;1800.0;859.0;814.0;1
447;201908;40265010;33;F;2200.0;65.0;603.0;0
448;201906;89254270;33;M;1800.0;744.0;690.0;0
449;201905;3590100;32;M;5000.0;703.0;592.0;1
450;201907;84250000;43;M;5000.0;817.0;683.0;0
451;201905;96115000;32;M;3979.0;363.0;873.0;1
452;201907;71880771;30;F;2000.0;833.0;742.0;1
453;201909;28740000;48;M;1454.5;274.0;582.0;1
454;201909;86130000;45;F;1322.0;359.0;649.0;1
455;201906;41280690;35;F;2500.0;535.0;613.0;0
456;201906;3332040;30;F;7000.0;378.0;743.0;1
457;201906;64260000;34;M;6000.0;904.0;650.0;1
458;201907;78365000;31;M;5500.0;688.0;831.0;1
459;201908;41760160;35;F;5000.0;566.0;717.0;1
460;201909;22793261;46;M;15000.0;243.0;618.0;1
461;201907;51021350;69;M;9500.0;876.0;690.0;1
462;201906;93546290;30;M;3650.0;383.0;637.0;1
463;201906;76807868;25;M;1800.0;752.0;727.0;1
464;201908;78911530;26;M;1890.0;604.0;721.0;1
465;201907;11065120;63;M;5000.0;531.0;675.0;0
466;201905;75600000;32;M;2500.0;475.0;656.0;0
467;201908;85807020;41;F;3500.0;470.0;837.0;1
468;201907;98240000;31;F;4200.0;668.0;671.0;1
469;201908;25268090;48;M;5000.0;366.0;716.0;1
470;201905;92010280;31;F;1400.0;713.0;602.0;1
471;201908;33400000;21;M;1300.0;420.0;605.0;1
472;201907;88330245;30;F;4000.0;324.0;573.0;0
473;201905;29055280;33;M;5500.0;747.0;689.0;0
474;201909;95890000;26;F;2000.0;679.0;681.0;1
475;201906;49100000;23;M;2000.0;512.0;566.0;0
476;201907;65054650;30;F;2100.0;543.0;599.0;1
477;201906;33825230;22;M;2700.0;546.0;520.0;0
478;201907;72210211;25;F;3500.0;412.0;689.0;0
479;201908;49400000;33;F;6000.0;858.0;785.0;1
480;201905;89203020;42;M;4939.0;803.0;581.0;1
481;201908;69735000;24;M;5500.0;573.0;678.0;1
482;201907;90630150;42;F;6000.0;736.0;658.0;1
483;201908;21931340;53;F;4500.0;764.0;750.0;1
484;201905;83040070;46;M;4985.0;537.0;640.0;1
485;201907;77330000;30;M;5823.28;909.0;839.0;0
486;201907;99200000;28;M;3000.0;426.0;672.0;1
487;201908;86800230;45;F;7500.0;467.0;719.0;1
488;201906;69317181;23;M;1950.0;509.0;646.0;1
489;201909;62810000;33;F;2000.0;721.0;772.0;1
490;201907;25212070;49;M;2200.0;660.0;731.0;1
491;201905;75900000;29;M;4500.0;576.0;642.0;1
492;201905;15400000;59;M;2909.0;731.0;686.0;1
493;201909;24903810;47;M;10000.0;549.0;706.0;1
494;201906;89084890;40;F;2560.0;803.0;717.0;1
495;201906;94858380;33;M;4000.0;305.0;633.0;1
496;201905;91040000;30;M;1700.0;593.0;756.0;1
